product,Link
لپ تاپ لنوو  ideapad 3  | 4gb ram | 1tb hdd | n4020 hd ا lenovo ideapad 3,https://torob.com/p/c9e081d5-cc85-4cd5-98d3-116aa2b9aba2/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-4gb-ram-1tb-hdd-n4020-hd/
لپ تاپ ایسوس fx517zr | 16gb ram | 512gb ssd | i7 | 8gb vga ا asus tuf dash f15 fx517zr,https://torob.com/p/77d40cca-89d4-4d9f-ab10-d34c5a309e6e/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-fx517zr-16gb-ram-512gb-ssd-i7-8gb-vga/
مک بوک ایر 8gb ram | 256gb ssd | m1 | mgn63 ا macbook air mgn63,https://torob.com/p/a21d004e-e716-4ec8-adb7-d0e09c06d291/%D9%85%DA%A9-%D8%A8%D9%88%DA%A9-%D8%A7%DB%8C%D8%B1-8gb-ram-256gb-ssd-m1-mgn63/
لپ تاپ لنوو ideapad gaming 3 | 16gb ram | 512gb ssd | i5 | 4gb vga ا lenovo ideapad gaming 3,https://torob.com/p/9d7e2163-cf46-4a95-bd08-367d6fc74013/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-gaming-3-16gb-ram-512gb-ssd-i5-4gb-vga/
لپ تاپ لنوو ideapad 3 | 12gb ram | 256gb ssd | 1tb hdd | i3 ا lenovo ideapad 3,https://torob.com/p/a70f36eb-b544-4209-95d1-55d080c0090d/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%84%D9%86%D9%88%D9%88-ideapad-3-12gb-ram-256gb-ssd-1tb-hdd-i3/
لپ تاپ ایسوس fx506lh | 8gb ram | 512gb ssd | i5 | 4gb vga ا laptop asus fx506lh,https://torob.com/p/93cb2c6d-44d9-4408-8b94-a2fd6a69a8cb/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-fx506lh-8gb-ram-512gb-ssd-i5-4gb-vga/
لپ تاپ hp elite x2 i5 1012 g2 ا hp elite x2 1012 g2,https://torob.com/p/39f6b943-58d9-4567-965c-af5fe87116e7/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-hp-elite-x2-i5-1012-g2/
لپ تاپ اچ‌ پی victus 15 | 8gb ram | 512gb ssd | i5 12500h | vga 3050 4gb ا hp victus15,https://torob.com/p/f079490c-2d6c-483e-8f38-c1448a5ee222/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DA%86-%D9%BE%DB%8C-victus-15-8gb-ram-512gb-ssd-i5-12500h-vga-3050-4gb/
لپ تاپ مایکروسافت surface go | 8gb ram | 256gb ssd | i5 ا laptop microsoft surface go,https://torob.com/p/90015843-a603-4dfd-b8db-100c62c7192a/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D9%85%D8%A7%DB%8C%DA%A9%D8%B1%D9%88%D8%B3%D8%A7%D9%81%D8%AA-surface-go-8gb-ram-256gb-ssd-i5/
لپ تاپ ایسوس  fx506hc | 8gb ram | 512gb ssd | i5 | 4gb vga ا asus tuf gaming fx506hc,https://torob.com/p/09bf8196-62c3-4919-a1cd-354970d27fd9/%D9%84%D9%BE-%D8%AA%D8%A7%D9%BE-%D8%A7%DB%8C%D8%B3%D9%88%D8%B3-fx506hc-8gb-ram-512gb-ssd-i5-4gb-vga/
