Brand,Weight,CPU Series,CPU Model,Cache,RAM,Memory,Size,Stock_statu,Price
لنوو,حدود 1.7 کیلوگرم,Celeron,,4 مگابایت,4 گیگابایت,1 ترابایت,15.6 اینچ,0,از ۸٫۱۲۵٫۰۰۰ تومان
ایسوس,2.0,Core i7,,24MB,16GB,512GB,15.6,0,از ۵۶٫۹۵۰٫۰۰۰ تومان
مک بوک ایر,1.29 کیلوگرم,Apple M1,M1,12 مگابایت,8 گیگابایت,256 گیگابایت,13.3 اینچ,0,از ۳۷٫۰۰۰٫۰۰۰ تومان
لنوو,2.3,Core i5,,18MB,16GB,512GB,15.6,0,از ۳۴٫۴۷۴٫۰۰۰ تومان
لنوو,2.43 کیلوگرم,Core i3,,6 مگابایت,12 گیگابایت,1 ترابایت + 256 گیگابایت,15.6 اینچ,0,از ۱۵٫۱۹۹٫۰۰۰ تومان
ایسوس,2.3,Core i5,,8MB,8GB,512GB,15.6,0,از ۳۲٫۲۰۰٫۰۰۰ تومان
hp,,,,,,,,1,از ۱۲٫۹۲۱٫۵۰۰ تومان
hp,2.2,Core i5,,18MB,8GB,512GB,15.6,0,از ۲۹٫۶۰۰٫۰۰۰ تومان
مایکروسافت,1.11,Corei5,1035G1,6MB,8GB,256GB,,0,از ۲۱٫۴۰۰٫۰۰۰ تومان
ایسوس,2.3kg,11400H,Core i5,12 مگابایت,8GB,512GB,15.6 اینچ,0,از ۳۶٫۴۷۹٫۰۰۰ تومان
لنوو,1.7 کیلوگرم,Gemini Lake Refresh,Celeron N4020,,4GB,128GB,15.6 اینچ,0,از ۹٫۰۰۰٫۰۰۰ تومان
لنوو,1.6,Core i5,,8MB,8GB,1TB,15.6,0,از ۲۱٫۱۰۰٫۰۰۰ تومان
لنوو,2.3,Core i7,,24MB,16GB,512GB,15.6,0,از ۴۱٫۴۷۹٫۰۰۰ تومان
ایسوس,1.8,Core i5,,8MB,8GB,512GB,15.6,0,از ۲۳٫۷۰۵٫۰۰۰ تومان
